word,definition,present,example,past,conditional,subjunctive,future,imperfect,continuousProgressive,mark
seleccionar,,,,,,,,,,
contestar,to answer; to protest,contesto; contestas; contesta,,,,,,,,
foro,forum,,,,,,,,,
usar,,,,,,,,,,
obtener,to obtain; to get; to acquire,,,,,,,,,
interaccionar,,,,,,,,,,
paquetes,,,,,,,,,,
apoyar,,,,,,,,,,
exportar,,,,,,,,,,
compartir,to share,,,,,,,,,
duda,doubt,,,,,,,,,
mojar,to get wet,,Vámonos que nos vamos a mojar. (Let's go because we are going to get we.),,,,,,,
el camping,"campground, campsite, camping",,La ciudad tiene tres hoteles y dos campings. (The city has three hotels and two campgrounds.),,,,,,,
menos,except; less; minus,,El dinero abre todas las puertas menos las del corazón. (Money opens all doors except for those of the heart.),,,,,,,
despedir,,,,,,,,,,
código,,,,,,,,,,
cuya,,,,,,,,,,
llenar,"to fill, to fill in, to fill out, to cover, to satisfy",,Se me llenaron los ojos de lágrimas al leer sobre un hombre que donó uno de sus riñones a su hijo. (My eyes filled with tears when I read about a man who donated one of his kidneys to his son.),,,,,,,
el alza,"rise, advance (often used to describe economic trends)",,Titular: Wall Street cierra en alza tras una semana de violentas oscilaciones. (Headline: Wall Street closes on an upswing after a week of violent ups and downs.),,,,,,,
pensar,to think,,"Quien vive sin pensar, no puede decir que vive. (The one who lives without thinking cannot say that he is living.)",,,,,,,
buscar,to look for,,El que no sabe lo que busca no entiende lo que encuentra. (The one who doesn't know what he's looking for will not know when he finds it.),,,,,,,
aleccionar,"to instruct, to lecture, to help someone understand something",,"Como en muchas de sus películas, aunque en ninguna de ellas con tanta brillantez, Capra nos alecciona sobre los verdaderos valores humanos. (As in many of his films, although in none of them so brilliantly, Capra teaches us about genuine human values.)",,,,,,,
el jugo,"juice, sap, something of substance or the essential nature of something",,"Las azúcares que posee la manzana son una fuente inmediata de energía y el jugo de manzana provee fluidos esenciales para el cuerpo. (The sugars that the apple has are an immediate source of energy, and apple juice provides fluids essential for the body.)",,,,,,,
prestar,to offer,,A casa de tu vecino a prestar favores y no a pedirlos. (Go to your neighbor's home to offer favors rather than to ask for them.),,,,,,,
sabio/necio,wise person/ foolish person,,"El sabio no dice lo que sabe, y el necio no sabe lo que dice. (The wise person doesn't say what he knows, and the foolish person doesn't know what he's saying.)",,,,,,,
conseguir,to get; to obtain; to achieve,,,,,,,,,
insertar,,,,,,,,,,
la pregunta,question,,,,,,,,,
peludo,"hairy, shaggy, long-haired, furry",,El monstruo peludo está cansado de comer ratones. (The hairy monster is tired of eating mice.),,,,,,,
temores,fear,,"Puede haber amor sin celos, pero no sin temores. (There can be love without jealousy, but not without fear.)",,,,,,,
boda,wedding,,"A fuego y a boda, va la aldea toda. (The whole town goes to a fire and a wedding.)",,,,,,,
razon,reason,,Buenas acciones valen más que buenas razones. (Right actions count for more than the right reasons.),,,,,,,
la cuadrilla,"group, gang, team, squad, small group of dogs used in hunting",,"Una cuadrilla de bomberos, peritos y autoridades judiciales exhumaron el cadáver. (A team of firefighters, technicians and judicial authorities exhumed the corpse.)",,,,,,,
en lugar de,instead of,,"En muchos países suena ridícula la opción de los españoles por usar la palabra ""ratón"" en lugar de ""mouse"". Sin embargo, si el aparato tiene forma de ratón, cola de ratón y se mueve como un ratón nada debería sonar más natural que llamarlo ratón. (Ricardo Sosa, director de ""La página del idioma español"") (The choice that Spaniards have of using the word ratón (the Spanish word for a mouse) instead of ""mouse"" sounds ridiculous in many countires. Nevertheless, if the device has the shape of a ratón, the tail of a ratón and moves like a ratón, nothing ought to sound more natural than calling it a ratón. (Ricardo Sosa, director of ""The Spanish-language Page""))",,,,,,,
asignar,,,,,,,,,,
el título,"title (most meanings), degree (granted by an educational institution), diploma, bond (given as security)",,Regresé a mis estudios y obtuve mi título universitario. (I returned to my studies and got my university degree.),,,,,,,
devolver,,,,,,,,,,
partir,,,,,,,,,,
mostrar,,,,,,,,,,
juntos,,,,,,,,,,
aclarar,,,,,,,,,,
la huelga,strike (a walkout in a labor disagreement),,Los médicos que están en huelga desde septiembre propusieron al gobierno de El Salvador la mediación de un experto internacional para solucionar la crisis. (Doctors on strike since September proposed to the El Salvadoran government mediation by an international expert in order to solve the crisis.),,,,,,,
luchar,,,Sólo se ha perdido cuando se deja de luchar. (One has lost only when he has quit fighting.),,,,,,,
opciones,,,,,,,,,,
varias,,,,,,,,,,
basicamente,,,,,,,,,,
funcion,,,,,,,,,,
ejemplo,,,,,,,,,,
revisa,,,,,,,,,,
generar,,,,,,,,,,
datos,,,,,,,,,,
detrás,,,,,,,,,,
editar,"to publish or release (a book or recording), to edit",,"La serie de discos llamada ""Felicidades"" se editaba anualmente como un compilado de lo mejor del repertorio artístico de Discos PolyGram. (The series of discs called ""Felicidades"" was released annually as a compilation of the best of the artistic selection of Discos PolyGram.)",,,,,,,
dudar,to doubt; hesitate; waver; vacillate,,dudar de algo (to doubt something),,,,,,,
atributo,attribute,,,,,,,,,
el cronograma,"timeline, schedule",,La declaración establece un exigente cronograma para que los países desarrollen e implementen estrategias nacionales para combatir la propagación del VIH. (The declaration establishes a demanding timeline for the countries to develop and implement national strategies for fighting the spread of HIV.),,,,,,,
la almohada,"pillow, cushion, pillowcase",,Se acostó en la cama y se cubrió le cabeza con las almohadas. (She lay down on the bed and covered her head with the pillows.),,,,,,,
ocasional,"accidental, by chance, temporary, occasional, irregularly timed",,Satmex es el principal proveedor de servicios ocasionales en Mexico. (Satmex is the main provider of temporary services in Mexico.),,,,,,,
envolver,"to wrap, to cover, to surround, to involve",,Él tomó el cuerpo y lo envolvió en una sábana limpia. (He took the body and wrapped it in a clean sheet.),,,,,,,
reitero,,,,,,,,,,
el desperdicio,"waste, waste product, scrap, leftovers",,"Las horas invertidas en practicar juegos de video podrían no ser un gran desperdicio, como piensan muchos padres de familia. (Ser is one of the most irregular verbs that exist in Spanish. Who would guess that its forms include era and fuese?)",,,,,,,
por encima de todo,"above all, …",,,,,,,,,
predilecto,"favorite, preferred",,"Carlos Santana fue condecorado como ""hijo predilicto"" y recibió las llaves del pueblo de manos del alcade. (Carlos Santana was decorated as a ""favorite son"" and was handed the keys to the village by the mayor.)",,,,,,,
la locura,"insanity, madness, craziness",,Los occidentales con quienes hablo piensan que todo esto es una locura. (The Westerners I speak with think all this is craziness.),,,,,,,
el cumplimiento,"execution (of a task), performance (of a task), fulfillment, observance",,"La CIA informó que uno de sus oficiales ""fue muerto en cumplimiento de sus deberes"". (The CIA reported that one of its officials ""died in performance of his duties.)",,,,,,,
la descarga,"the act or result of unloading, download, electrical shock, discharge",,La industria disquera clasifica las descargas sin pagar como piratería. (The recording industry regards the free downloads as piracy.),,,,,,,
endurecer,"to strengthen, to harden, to make more durable, to toughen",,La oposición venezolana dijo que estudia endurecer sus posturas mediante un llamado a la desobediencia civil. (The Venezuelan opposition said it is studying strengthening its position through a call for civil disobedience.),,,,,,,
valor,value,,,,,,,,,
información,information,,,,,,,,,
evidencia,evidence,,,,,,,,,
regresión,regression,,"Quisiera saber si existe algún paquete que permita calcula la valor de la
información (Information Value ) y el peso de la evidencia (Weight of
Evidence), para un modelo de regresión logística.Quisiera saber si existe algún paquete que permita calcula la valor de la
información (Information Value ) y el peso de la evidencia (Weight of
Evidence), para un modelo de regresión logística.Quisiera saber si existe algún paquete que permita calcula la valor de la
información (Information Value ) y el peso de la evidencia (Weight of
Evidence), para un modelo de regresión logística.Quisiera saber si existe algún paquete que permita calcula la valor de la
información (Information Value ) y el peso de la evidencia (Weight of
Evidence), para un modelo de regresión logística.Quisiera saber si existe algún paquete que permita calcula la valor de la
información (Information Value ) y el peso de la evidencia (Weight of
Evidence), para un modelo de regresión logística.",,,,,,,
subir,to bring up; to raise; to go up; to come up; to increase; to be promoted,,,,,,,,,
calcular,,,,,,,,,,
mundial,"world (as an adjective), worldwide (""el mundial"" usually refers to a world championship)",,"Cada 31 de mayo, la Organización Mundial de la Salud organiza el Día Mundial sin Tabaco. (Each May 31, the World Health Organization organizes the World No Tobacco Day.)",,,,,,,
instalación,installation,,,,,,,,,
agenda,agenda,,,,,,,,,
bobo,fool,,"Hay muchos bobos que nacen, pero son más los que se hacen. (There are many who are born fools, but there are more who make themselves that way.)",,,,,,,
acuerdo,agreement,,,,,,,,,
brazo,arm,,,,,,,,,
izquierda,left,,,,,,,,,
llamar,to call,,,,,,,,,
pues,well,,,,,,,,,
lujo,luxury,,,,,,,,,
cuesta,cost,,,,,,,,,
médico,doctorñ medic,,,,,,,,,
discutir,to discuss,,,,,,,,,
asunto,matter,,,,,,,,,
mofarse,"to scoff, to mock, to jeer, to make fun of",,"Lamentablemente, la Convención realizada recientemente por el Partido Republicano en Nueva York se mofó de las soluciones multilaterales. (Regrettably, the Republican Party Convention held recently in New York scoffed at multilateral solutions.)",,,,,,,
menoscabar,"to damage, to impair, to harm",,Los errores menoscabaron la calidad del espectáculo. (The errors diminished the quality of the show.),,,,,,,
lanzar,"to throw, to fling, to hurl, to drop (a bomb), to fire (a missile), to launch (an endeavor)",,"CNN en Español, la primera cadena televisiva de 24 horas de CNN producida en un idioma diferente del inglés, lanzó el 17 de marzo de 1997. (CNN en Español, the first 24-hour network by CNN produced in a non-English language, was launched on March 17, 1997.)",,,,,,,
pronosticar,"to predict, to forecast, to prognosticate",,,,,,,,,
zambullir,"to dip, to submerge, to plunge into",,"Cuando el agua le llegó al pecho, se zambulló de cabeza. (When the water reached chest height, he dipped his head in it.)",,,,,,,
el punto,"point (most meanings), dot, spot or place, state or condition, a touch",,"Un visitante me preguntó: ""Qué puntos de interés puedo visitar mientras esté en la ciudad? (A visitor asked me, ""What points of interest can I visit while I'm in the city?"") Dos puntos is a colon, while punto y coma is a semicolon.",,,,,,,
habitualmente,"usually, regularly, as a matter of course, habitually",,The vice president typically sits down at the president's side.,,,,,,,
ahí,,,,,,,,,,
el esquema,"diagram, chart, outline, plan, scheme",,Empresas Polar adoptó un nuevo esquema de organización. (Empresas Polar adopted a new organizational chart.),,,,,,,
blando,soft; delicate; indulgent; flabby; lenient; weak,,En Holanda se ha establecido una clara distinción entre las drogas blandas y duras. (In Holland they have established a clear distinction between soft drugs and hard drugs.),,,,,,,
la largura,length,,,,,,,,,
rotundo,"emphatic, definitive, categorical, expressive, forceful, total",,"Publicado en 1990, el homónimo álbum de debut de Carey fue un rotundo éxito. (Released in 1990, Carey's self-titled debut album was a resounding success.)",,,,,,,
dato,"fact, piece of information, datum",,Es importante que todos los datos sean correctos. (It is important that all the facts are correct.),,,,,,,
salida,,,,,,,,,,
cambio,,,,,,,,,,
eficiente,efficient,,,,,,,,,
peligroso,,,,,,,,,,
fuera,,,,,,,,,,
promedio,,,,,,,,,,
manejo,,,,,,,,,,
al,"to the (contraction of ""a el"")",,,,,,,,,
que,than,,,,,,,,,
de,from; of; used to indicate posession,,,,,,,,,
azul,blue,,,,,,,,,
mar,sea,,,,,,,,,
merito,merit,,,,,,,,,
muy,very,,,,,,,,,
comun,common,,,,,,,,,
siempre,always,,,,,,,,,
seras,will be,,,,,,,,,
blanca,white,,,,,,,,,
fui,was,,,,,,,,,
letrero,sign,,,,,,,,,
autopista,freeway,,,,,,,,,
caro,expensive,,caro/barato,,,,,,,
rapido,fast/quick,,,,,,,,,
cevirle,help,,En que puedes cevirle? (How can I help?),,,,,,,
perdido,lost,,Estoy perdido. (I'm lost.),,,,,,,
comprender,to understand,,Yo comprendo. (I understand.),,,,,,,
estar,to be (used to tell location and states of physical or mental health),,,,,,,,,
cien; ciento,one hundred; use 'cien' before a noun; use 'ciento' befor another number,,,,,,,,,
lindo,beautiful,,"mi choche is lindo (lindo/feo, beatiful/ugly)",,,,,,,
grande,large; big,,"""grande"" does not change gender (it's always pronounced as ""grande,"" and never ""granda"")",,,,,,,
tener que ~,have to ~; must do ~,,,,,,,,,
espanol,spanish,,,,,,,,,
la comida,food,,,,,,,,,
aquí,here,,,,,,,,,
no entiendo,I don't understand.,,,,,,,,,
cerveza,beer,,,,,,,,,
Salud!,Cheers!,,,,,,,,,
cuchillo,knife,,,,,,,,,
tenedor,fork,,,,,,,,,
cuchara,spoon,,,,,,,,,
palillo,chopsticks,,,,,,,,,
plato,plate,,,,,,,,,
vaso,glass; vase; urn,,,,,,,,,
taza,cup,,,,,,,,,
popote,straw,,,,,,,,,
"Bien, gracias","Good, thanks",,,,,,,,,
fumar,smoke,,,,,,,,,
?Todo bien?,,,,,,,,,,
restaurante,restaurant,,,,,,,,,
ir,to go,voy; vas; va; vamos; ; van,ir de compras (to go shopping),,,,,,,
quien,who,,,,,,,,,
esquina,corner,,,,,,,,,
mascara,mask,,,,,,,,,
paraguas,umbrella,,,,,,,,,
volver,to return,,,,,,,,,
ahi,,,,,,,,,,
alla,,,,,,,,,,
fresa,strawberry,,,,,,,,,
derecho,straight,,,,,,,,,
izquierda,left,,,,,,,,,
derecha,right,,,,,,,,,
la llave,key,,,,,,,,,
direccion,direction,,,,,,,,,
quiero,I want,,,,,,,,,
tomar,to take,,,,,,,,,
maleta,suitcase,,,,,,,,,
melon,melon,,,,,,,,,
pina,pineapple,,,,,,,,,
mapa,map,,,,,,,,,
ropa,clothes,,,,,,,,,
zapatos,shoes,,,,,,,,,
calcetines,socks,,,,,,,,,
minifalda,skirt,,,,,,,,,
mujer,woman; lady,,,,,,,,,
bermudas,,,,,,,,,,
sueter,sweater,,,,,,,,,
pantalones,pants,,,,,,,,,
talla,size,,,,,,,,,
chica/mediana/grande/extra grande,small/medium/large/extra large,,,,,,,,,
cepillo de dientes,toothbrush,,,,,,,,,
pasta de dientes,toothpaste,,,,,,,,,
champu,shampoo,,,,,,,,,
sombrero,hat,,,,,,,,,
cigarro,cigarette,,,,,,,,,
guia,,,,,,,,,,
para,,,,,,,,,,
platica,,,,,,,,,,
buscando,,,,,,,,,,
nombre,name,,,,,,,,,
dedo,,,,,,,,,,
pronuncie,,,,,,,,,,
disponible,available,,,,,,,,,
desayuno,,,,,,,,,,
incluído,,,,,,,,,,
poder,to be able,puedo; puedes; puede,,,,,,,,
verdado,true,,,,,,,,,
falso,false,,,,,,,,,
nunca,never,,Es ahora o nunca. (It is now or never.),,,,,,,
desde,since; from,,,,,,,,,
todos los dias,every day,,,,,,,,,
mas,more,,,,,,,,,
sentir,to feel,,,,,,,,,
sobre todo,above all,,,,,,,,,
sentimientos muy profundos,very deep feelings,,,,,,,,,
muchisimo,very much,,,,,,,,,
suenos,dreams,,,,,,,,,
novio/novia,boyfriend/girlfriend,,,,,,,,,
el uno al otro,to each other,,,,,,,,,
!Desde luego que si!,Of course I have!,,,,,,,,,
largas horas,a long time,,,,,,,,,
Al conocernos,When we meet,,,,,,,,,
amor a primera vista,love at first site,,,,,,,,,
muy enamorados,very much in love,,,,,,,,,
cuento de hadas,fairy tale,,,,,,,,,
un fuen fin,a happy ending,,,,,,,,,
ellos/ellas,they/them,,,,,,,,,
nosotros,we/us,,,,,,,,,
persona,person,,,,,,,,,
suerte,,,,,,,,,,
pensar,to think; consider,,,,,,,,,
ir; voy; vamos,to go,,,,,,,,,
estudiar,study,,,,,,,,,
colegio,college,,,,,,,,,
el beso,kiss,,,,,,,,,
el abrazo,hug,,,,,,,,,
?En que fecha?,What day/date?,,,,,,,,,
?En que año?,In what year?,,,,,,,,,
semana,week,,,,,,,,,
estacion,station,,,,,,,,,
buenas dias,good day,,,,,,,,,
buenas noches,good evening/night,,,,,,,,,
buenas tardes,good afternoon,,,,,,,,,
mas o menos,more or less,,,,,,,,,
perdon,pardon; excuse me,,,,,,,,,
adios,goodbye,,,,,,,,,
hasta luego,see you later,,,,,,,,,
nuevo,new,,,,,,,,,
hasta manana,until tomorrow,,,,,,,,,
tengo ___ anos,I am ___ years old.,,,,,,,,,
vivo en ___,I live in ___.,,,,,,,,,
sure korea,South Korea,,,,,,,,,
norte korea,North Korea,,,,,,,,,
taxista,taxi driver,,,,,,,,,
?Donde vive usted?,Where do you live?,,,,,,,,,
deportes,sports,,,,,,,,,
beisbol,baseball,,,,,,,,,
futbol,football,,,,,,,,,
tenis,tennis,,,,,,,,,
nadar,to swim,,Encuentran el cadáver del joven que desapareció mientras nadaba en el Río Miño. (They found the body of the youth who disappeared while swimming in the Miño River.),,,,,,,
bailar,to dance,,,,,,,,,
viajar,to travel,,,,,,,,,
musica,music,,,,,,,,,
leer,to read,,leer libros (to read books),,,,,,,
?Que le gusta?,What do you like?,,,,,,,,,
?Tiene novio?,Do you have a boyfriend?,,,,,,,,,
estes,you,,,,,,,,,
haz,Do (command),,,,,,,,,
decir,to say,digo; dices; dice; decimos; ; dicen,,,,,,,,
No me acuerdo.,I don't remember.,,,,,,,,,
me acuerdo de ellos,I remember them.,,,,,,,,,
poner,,,,,,,,,,
este/ese,this/that,,,,,,,,,
ahora,now,,,,,,,,,
tiempo,time,,,,,,,,,
saber,to know,,"El que lee mucho y anda mucho, ve mucho y sabe mucho. (The one who reads a lot and walks a lot will see a lot and know a lot.)",,,,,,,
naturalmente,of course; naturally,,,,,,,,,
pueblo,town,,,,,,,,,
considera,consider,,,,,,,,,
?donde esta?,Where is it?,,,,,,,,,
alberca,pool,,,,,,,,,
gafas del sol,sunglasses,,,,,,,,,
conviene que,it is advisable that,,,,,,,,,
sin,without,,,,,,,,,
playa,beach,,,,,,,,,
isla,island,,,,,,,,,
mayor,,,,,,,,,,
hermosa,beautiful,,,,,,,,,
mar,sea,,,,,,,,,
al,to the,,,,,,,,,
despues de,after,,,,,,,,,
antes de,before,,,,,,,,,
comun,common,,,,,,,,,
siempre,always,,,,,,,,,
situada,situated; located,,,,,,,,,
afueras,peripheral; outskirts,,,,,,,,,
?Que hora es?,What time is it?,,,,,,,,,
cuarto,quarter,,,,,,,,,
media,half,,,,,,,,,
cada cual,everybody; each of us,,,,,,,,,
parece,,,,,,,,,,
a la manera,to his/her liking,,,,,,,,,
en lo mas minimo,in the least,,,,,,,,,
que se fastidie,too bad/who cares,,,,,,,,,
hubo un tiempo,there was a time,,,,,,,,,
cuanto,how much/many,,,,,,,,,
cuadra,street block,,,,,,,,,
?Cuanto dinero tienes?,How much money do you have?,,,,,,,,,
hasta el punto de que,to the point that,,,,,,,,,
a la ligera,casually,,,,,,,,,
intentan justificar,try to justify,,,,,,,,,
sin proposito,without any other purpose,,,,,,,,,
con todas las verguenzas al aire,with all the private parts exposed,,,,,,,,,
igual,still,,,,,,,,,
aferrada a,holding tight to,,,,,,,,,
dos trapitos,with simple clothes,,,,,,,,,
que aun hay,that there is still,,,,,,,,,
En quanto a,As far as/Regarding,,,,,,,,,
se les ve,they can be seen,,,,,,,,,
De lo contrario,Otherwise,,,,,,,,,
excepciones,exceptions,,,,,,,,,
mi tierra,,,,,,,,,,
contigo,with you,,,,,,,,,
la soledad,,,,,,,,,,
cancion,,,,,,,,,,
descubre,,,,,,,,,,
palabra,word,,,,,,,,,
tiznar,to blacken (literally or figuratively),,"Si los recipientes de cocina se tiznan por el humo de la llama, la combustión no está siendo buena. (If the kitchen containers become black from the smoke of the flame, the combustion isn't good.)",,,,,,,
entrada,entry,,,,,,,,,
haber,"to have (helping verb only!) I have eaten; I have walked, etc.",,Es mejor haber amado y perdido que no haber amado nunca. (Tis better to have loved and lost than never to have loved at all.),,,,,,,
llorar,,,El que no llora no mama. (The one who doesn't cry doesn't suck.),,,,,,,
hacer,to do; to make,hago; haces; hace; hacemos; ; hacen,Investigación científica básica es lo que hago cuando no sé lo que hago. (Research is what I'm doing when I don't know what I'm doing.),,,,,,,
dichos,,,,,,,,,,
refranes,,,,,,,,,,
luna,moon,,"Todo hombre es la luna: con una cara oscura que a nadie enseña. (Everyone is a moon, and has a dark side which he never shows to anybody.)",,,,,,,
cara,side,,,,,,,,,
oscura,dark; obscure,,,,,,,,,
alcista,trending upward (used most often when speaking of economics),,Las bolsas de Nueva York cerraron hoy con una fuerte tendencia alcista. (The New York financial markets closed today on a strong upward trend.),,,,,,,
traduccion,translation,,,,,,,,,
ejemplo,example,,,,,,,,,
significado,meaning,,,,,,,,,
poco,little,,"Quien mucho abarca, poco aprieta. (He who puts his arms around much squeezes little.) (Interpretation: Jack of all trades, master of none. The person who tries to do too much isn't able to do any one thing well.)",,,,,,,
fruncir,to frown; purse the lips,,Antonio frunció al leer su nombre. (Antonio frowned upon (the) reading his name.),,,,,,,
ayudar,to help; to assist,,"A quien madruga, Dios le ayuda. (The one who gets up early, God helps him.) (Interpretation: The early bird gets the worm. God helps those who help themselves.)",,,,,,,
boca,mouth,,En boca cerrada no entran moscas. (Flies don't enter a closed mouth.) (Interpretation: Sometimes it's better to keep your mouth shut.),,,,,,,
entreabrir,"to open halfway, to leave ajar",,No deje los cajones de su escritorio entreabiertos. (Don't leave the drawers of your desk half open.),,,,,,,
telefonear,"to phone, to telephone, to call someone on the telephone",,"El presidente, Jorge Bush, me telefoneó para pedirme que aceptara la asignación. (The president, George Bush, phoned me to ask me to accept the assignment.)",,,,,,,
objetar,"to object to, to raise objections to, to be a conscientious objector",,"Por el contrario objetaron su estilo impulsivo de comunicación. (On the contrary, they objected to his impulsive communication style.)",,,,,,,
ahumar,"to make smoke, to fill with smoke, to smoke meat or other food",,El salmón se salaba y luego se ahumaba fuertemente para poder conservarlo durante los meses cálidos. (The salmon was cured with salt and later strongly smoked in order to preserve it during the hot months.),,,,,,,
la orilla,"shore, bank (of a river), edge",,La otra orilla siempre es más bella. (The other shore is always more beautiful.) (Interpretation: The grass is greener on the other side of the fence.),,,,,,,
otro,other,,,,,,,,,
chico/pequeno/grande (grande is a rare spanish word that is gender neutral (masculine and feminine)),little/big,,"Hijos chicos, chicos dolores; hijos mayores, grandes dolores. (Little children, little pain; big children, big pain.)",,,,,,,
corregir,to correct,,La otoplastia es una cirugia destinada a corregir las deformidades de las orejas. (Otoplasty is a surgery aimed at correcting deformities of the ears.),,,,,,,
manzana,apple,,,,,,,,,
nino,boy,,,,,,,,,
pronto,soon,,,,,,,,,
Que tal?,How's it going?,,,,,,,,,
Chao!,Bye!,,,,,,,,,
Mucho gusto!,A pleasure!,,,,,,,,,
Bienvenida!,Welcome!,,,,,,,,,
bustar,to be enough; to suffice,,"A buen entendedor, pocas palabras bastan. (To the one who is good at understanding, a few words are enough.)",,,,,,,
la gravedad,"gravity (meaning either ""seriousness"" or a physical force)",,La sonda espacial Cassini utilizó la gravedad de Júpiter para impulsarse hacia Saturno. (The space probe Cassini used Jupiter's gravity to impel itself toward Saturn.),,,,,,,
hombre,man,,"Si el hombre no ha descubierto nada por lo que morir, no es digno de vivir. (If man has not discovered something to die for, he is not worthy of living.)",,,,,,,
disculpe,excuse me,,"Disculpe, lo siento. (Excuse me, I'm sorry.)",,,,,,,
la carta,letter,,,,,,,,,
escribir,to write,,,,,,,,,
el diario,newspaper,,,,,,,,,
cociner,to cook; to bake,,,,,,,,,
jugo,juice,,,,,,,,,
naranja,orange,,,,,,,,,
almuerzo,lunch,,,,,,,,,
la papa,potato,,,,,,,,,
la cena,dinner,,,,,,,,,
emparedado,sandwhich,,,,,,,,,
el desayuno,breakfast,,,,,,,,,
sal,salt,,,,,,,,,
la cebolla,onion,,,,,,,,,
el azucar,sugar,,,,,,,,,
te,tea,,,,,,,,,
vegetales,vegetables,,,,,,,,,
el gato,cat; amateur: servants,,,,,,,,,
el caballo,horse,,,,,,,,,
vivir,to live,,"Hay que comer para vivir, no vivir para comer. (It is necessary to eat in order to live, not to live in order to eat.)",,,,,,,
el mueble,piece of furniture,,Muebles Ebano es una empresa dedicada desde 1953 a la fabricación y distribución de muebles de alta calidad. (Muebles Ebano is a business dedicated since 1953 to the manufacture and distribution of high-quality furniture.),,,,,,,
empresa,business; company,,,,,,,,,
calidad,quality,,,,,,,,,
el pato,duck,,,,,,,,,
el pájaro,bird,,,,,,,,,
el pinguino,penguin,,,,,,,,,
la araña,spider,,,,,,,,,
el cangrejo,crab; crayfish,,,,,,,,,
el oso,bear,,,,,,,,,
él,he; him,,,,,,,,,
el ratón,mouse; lowly; miserable,,,,,,,,,
el conejo,rabbit,,,,,,,,,
el toro,bull,,,,,,,,,
el cerdo,pork; pig; hog,,,,,,,,,
el mono,monkey; pretty,,,,,,,,,
el león,lion,,,,,,,,,
vida,life,,,,,,,,,
padres,parents,,,,,,,,,
perro,dog; rotten; lousy,,,,,,,,,
socios,associates; partners; members,,,,,,,,,
la camisa,shirt,,,,,,,,,
el abrigo,coat,,,,,,,,,
la ropa,clothing,,,,,,,,,
el vestido,dress,,,,,,,,,
la corbata,tie,,,,,,,,,
cinturón,belt,,,,,,,,,
el traje,suit,,,,,,,,,
aún,even,,"Aun si supiera que mañana el mundo se habría de desintegrar, igual plantaría mi manzano. (Martín Luther) (Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.)",,,,,,,
coger,"to grab, to take hold of, to capture, to take, to pick up, to gather, to hold on
to grab, to take hold of, to capture, to take, to pick up, to gather, to hold on
",,Cojamos un avión y visitemos los Países Bajos. (Let's take a plane and visit the Netherlands.),,,,,,,
cuál,which; which one,,,,,,,,,
cómo,how; pardon,,,,,,,,,
quién,who,,,,,,,,,
cuánto,how much,,,,,,,,,
cuándo,when,,,,,,,,,
ver,to see; to watch; to imagine,,,,,,,,,
guerra,war,,Buena es la guerra para el que no va a ella. (War is good for the person who doesn't go to it.),,,,,,,
el gorro; la gorra,cap (worn on the head),,"Los estudiantes visten una gorra y una toga especiales, y se les otorga un diploma. (The students wear a special cap and gown and are presented a diploma.)",,,,,,,
aviso,,,,,,,,,,
hallarse,"to find oneself, to be (in a situation)",,La responsabilidad educativa se halla en gran parte descentralizada. (Educational responsibility finds itself to a great degree decentralized.),,,,,,,
hallar,to find; to find out,,,,,,,,,
la milla,mile,,Ningún lugar de Gran Bretaña se encuentra a más de 75 millas del mar. (No place in Great Britain is more than 75 miles from the sea.),,,,,,,
ojos,eyes,,Más ven cuatro ojos que dos. (Four eyes see more than two.),,,,,,,
razón,,,"Cuando todo el mundo se equivoca, todo el mundo tiene razón. (When everybody is wrong, everybody is right.)",,,,,,,
tener,to have,,,,,,,,,
correr,to run,,,,,,,,,
querer,to want,quiero; quieres; quiere; queremos; queréis; quieren,,quise; quisiste; quiso; quisimos; quisisteis; quisieron,quiera; quieras; quiera; queramas; queráis; quieran,,,,,
tocar,to touch; to feel; to play,,,,,,,,,
porque,because; for,,"Dichosos los pacificadores, porque serán llamados los hijos de Dios. (Happy are the peacemakers, for they will be called the children of God.)",,,,,,,
sino,but; if not; rather,,,,,,,,,
aunque,even if; although,,Yo no puedo aunque yo quiero. (I can't even though I want to.),,,,,,,
como,as; like,,,,,,,,,
mientras,while; as long as; during,,,,,,,,,
sobre,over; on top of; on; above; about,,,,,,,,,
para,for; by; to,,,,,,,,,
entre,among; between; come in,,,,,,,,,
para qué,what … for; why,,,,,,,,,
e; y,and,,,,,,,,,
contra,against; snag; antidote,,,,,,,,,
al,to the; on the; at,,,,,,,,,
hacia,toward(s); to,,,,,,,,,
a,a; to; by,,,,,,,,,
el cine,cinema; movie theater,,,,,,,,,
calle,street,,,,,,,,,
durante,during,,,,,,,,,
bebés,babies,,,,,,,,,
primos,cousins,,,,,,,,,
mamá,mom,,,,,,,,,
papá,dad,,,,,,,,,
hace,since,,,,,,,,,
meses,months,,,,,,,,,
oir,to hear; to listen,,,,,,,,,
bolígrafo; pluma,pen,,,,,,,,,
abogados,lawyers; attorneys; solicitors,,,,,,,,,
cerca,near; nearby,,,,,,,,,
según,according to; it depends; as,,,,,,,,,
bajo,under; short; descend; get off,,,,,,,,,
acerca de,about,,,,,,,,,
comenzar,to begin,,,,,,,,,
próximo/a,next; near,,,,,,,,,
partido,game; match,,,,,,,,,
momento,moment; time; period,,,,,,,,,
tarde,late; afternoon; evening,,,,,,,,,
a veces/veces,sometimes/times; once,,,,,,,,,
